MARKET,NAME,SYMBOL,DATEDEAL,OPEN,HIGH,LOW,CLOSE,DIFF,VOLUME
KOSPI,삼성전자,005930,2016-11-22,32140,32900,32000,32800,2.95,195022
KOSPI,삼성전자,005930,2016-11-23,33220,33220,32520,32980,0.55,253372
KOSPI,삼성전자,005930,2016-11-24,32980,33040,32660,33000,0.06,155143
KOSPI,삼성전자,005930,2016-11-25,32820,33040,32660,33000,0,125538
KOSPI,삼성전자,005930,2016-11-28,33000,33620,32800,33540,1.64,265881
KOSPI,삼성전자,005930,2016-11-29,33800,33960,33380,33540,0,361626
KOSPI,삼성전자,005930,2016-11-30,33540,34940,33540,34920,4.11,570704
KOSPI,삼성전자,005930,2016-12-01,34800,35060,34660,34980,0.17,310707
KOSPI,삼성전자,005930,2016-12-02,34480,34760,34140,34540,-1.26,307059
KOSPI,삼성전자,005930,2016-12-05,34340,34680,34220,34360,-0.52,169692
KOSPI,삼성전자,005930,2016-12-06,34440,35200,34400,34960,1.75,280036
KOSPI,삼성전자,005930,2016-12-07,35040,35480,35040,35440,1.37,192073
KOSPI,삼성전자,005930,2016-12-08,35980,36020,35520,35800,1.02,329251
KOSPI,삼성전자,005930,2016-12-09,35900,35900,35400,35600,-0.56,213049
KOSPI,삼성전자,005930,2016-12-12,34660,35360,34660,35040,-1.57,228289
KOSPI,삼성전자,005930,2016-12-13,34620,35440,34620,35320,0.8,233689
KOSPI,삼성전자,005930,2016-12-14,35560,35680,35280,35540,0.62,149102
KOSPI,삼성전자,005930,2016-12-15,34820,35500,34820,35180,-1.01,115471
KOSPI,삼성전자,005930,2016-12-16,35300,36020,35200,35860,1.93,234954
KOSPI,삼성전자,005930,2016-12-19,35620,36380,35620,35900,0.11,108716
KOSPI,삼성전자,005930,2016-12-20,35920,36400,35840,36240,0.95,152304
KOSPI,삼성전자,005930,2016-12-21,36360,36600,36020,36100,-0.39,131042
KOSPI,삼성전자,005930,2016-12-22,36260,36300,35980,36180,0.22,127092
KOSPI,삼성전자,005930,2016-12-23,36020,36080,35600,35640,-1.49,166697
KOSPI,삼성전자,005930,2016-12-26,35600,36000,35560,35960,0.9,96472
KOSPI,삼성전자,005930,2016-12-27,35980,36200,35860,35980,0.06,93069
KOSPI,삼성전자,005930,2016-12-28,35840,35980,35600,35760,-0.61,133258
KOSPI,삼성전자,005930,2016-12-29,35420,36040,35400,36040,0.78,150329
KOSPI,삼성전자,005930,2017-01-02,35980,36240,35880,36100,0.17,93012
KOSPI,삼성전자,005930,2017-01-03,36280,36620,36020,36480,1.05,147153
KOSPI,삼성전자,005930,2017-01-04,36500,36520,36100,36160,-0.88,159435
KOSPI,삼성전자,005930,2017-01-05,36060,36060,35540,35560,-1.66,219349
KOSPI,삼성전자,005930,2017-01-06,36180,36440,36040,36200,1.8,177619
KOSPI,삼성전자,005930,2017-01-09,36600,37500,36560,37220,2.82,263898
KOSPI,삼성전자,005930,2017-01-10,37280,37400,37080,37240,0.05,181996
